Date,RawTime,Sunrise,Position,Height,SD,FID,TotalBirds,Alarm,Flight,Flight Behaviour,Observer,Temp,weather.,SDm,FIDm,TSS,ToD,ToD2
7/28/17,11:06,7:08,bot,<1,11,9,1,n,1,f,bb,,,9.826666667,8.04,3.97,11.10,123.21
7/28/17,11:07,7:08,top,>3,11,8,3,n,1,f,bb,,,9.826666667,7.146666667,3.98,11.12,123.5802778
7/28/17,11:09,7:08,top,>3,8,6,1,y,1,f,bb,,,7.146666667,5.36,4.02,11.15,124.3225
7/28/17,11:13,7:08,mid,2,9,7,1,n,1,f,bb,,,8.04,6.253333333,4.08,11.22,125.8136111
7/30/17,13:25,7:07,top,>3,16,13,1,n,0,h,bb,17,clear,14.29333333,11.61333333,6.3,13.42,180.0069444
7/30/17,13:32,7:07,mid,>2,12,10,1,n,1,f,bb,17,clear,10.72,8.933333333,6.42,13.53,183.1511111
7/30/17,13:40,7:07,mid,2,18,12,1,n,0,h,bb,17,clear,16.08,10.72,6.55,13.67,186.7777778
7/30/17,14:01,7:07,top,>2,13,11,1,n,1,f,bb,17,clear,11.61333333,9.826666667,6.9,14.02,196.4669444
7/30/17,14:09,7:07,top,>2,9,6,1,n,1,f,bb,17,clear,8.04,5.36,7.03,14.15,200.2225
7/27/17,16:44,7:09,mid,>2,22,2,1,n,1,f,bb,,,19.65333333,1.786666667,9.58,16.73,280.0044444
7/30/17,16:40,7:07,bot,<1,6,5,1,n,1,f,bb,17,clear,5.36,4.466666667,9.55,16.67,277.7777778
7/30/17,14:43,7:07,mid,<1,22,4,1,y,1,f,bb,17,clear,19.65333333,3.573333333,7.6,14.72,216.5802778
7/30/17,16:46,7:07,mid,2,7,4,1,y,0,h,bb,17,clear,6.253333333,3.573333333,9.65,16.77,281.1211111
7/30/17,16:50,7:07,bot,<2,20,12,1,n,1,f,bb,17,clear,17.86666667,10.72,9.72,16.83,283.3611111
7/30/17,17:03,7:07,top,>3,18,4,1,n,0,h,bb,17,clear,16.08,3.573333333,9.93,17.05,290.7025
7/30/17,17:06,7:07,top,2,8,3,1,n,1,f,bb,17,clear,7.146666667,2.68,9.98,17.10,292.41
7/30/17,17:14,7:07,top,>2,17,8,1,n,1,f,bb,17,clear,15.18666667,7.146666667,10.12,17.23,296.9877778
7/30/17,17:30,7:07,bot,>1,8,6,1,n,1,f,bb,17,clear,7.146666667,5.36,10.38,17.50,306.25
7/26/17,8:57,7:09,mid,>2,16,2,1,n,1,f,sf,12,windy,14.4,1.8,1.8,8.95,80.1025
7/26/17,9:09,7:09,top,>2,22,8,1,n,1,f,sf,12,windy,19.8,7.2,2,9.15,83.7225
7/30/17,16:44,7:07,top,>3,10,7,1,n,1,f,sf,17,clear,9,6.3,9.62,16.73,280.0044444
7/30/17,17:14,7:07,mid,>1,12,6,1,n,1,f,sf,17,clear,10.8,5.4,10.12,17.23,296.9877778
8/1/17,17:17,7:05,top,>3,12,7,1,n,1,f,sf,,,10.8,6.3,10.2,17.28,298.7136111
8/1/17,17:25,7:05,bot,>1,15,9,1,n,0,h,sf,,,13.5,8.1,10.33,17.42,303.3402778
8/1/17,17:41,7:05,bot,>1,21,4,1,n,1,f,sf,,,18.9,3.6,10.6,17.68,312.7002778
8/3/17,17:05,7:04,top,>2,17,15,1,y,1,f,sf,12,clear,15.3,13.5,10.02,17.08,291.8402778
8/3/17,17:07,7:04,bot,<1,19,14,1,n,1,f,sf,12,clear,17.1,12.6,10.05,17.12,292.9802778
8/3/17,17:09,7:04,mid,>1,12,7,1,n,1,f,sf,12,clear,10.8,6.3,10.08,17.15,294.1225
8/3/17,17:10,7:04,mid,>1,13,8,1,n,1,f,sf,12,clear,11.7,7.2,10.1,17.17,294.6944444
8/3/17,17:15,7:04,mid,>1,15,6,1,n,1,f,sf,12,clear,13.5,5.4,10.18,17.25,297.5625
8/3/17,17:17,7:04,bot,<1,14,4,2,n,1,f,sf,12,clear,12.6,3.6,10.22,17.28,298.7136111
8/3/17,17:19,7:04,bot,<1,16,5,1,n,1,f,sf,12,clear,14.4,4.5,10.25,17.32,299.8669444
8/3/17,17:21,7:04,bot,<1,18,9,1,n,1,f,sf,12,clear,16.2,8.1,10.28,17.35,301.0225
8/3/17,17:22,7:04,bot,<1,14,9,1,y,1,f,sf,12,clear,12.6,8.1,10.3,17.37,301.6011111
